k,q,alpha,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6,rho_7
10,5,10-10-10-10-10-10-10-10-10-10,1.0475629363095165,0.91258163044189,0.8284632725054023,0.7777093734965039,0.5291721393040872,,
10,5,5-5-5-10-10-10-10-10-15-20,1.724316484158908,0.9126943437271422,0.8324229533860441,0.6950457832551581,0.5025786642574533,,
10,5,5-5-5-5-5-5-5-15-20-30,2.124689428277571,1.6644650851280356,1.2728799703290996,0.621335330579996,0.4184002711486252,,
10,5,10-10-10-10-10-10-10-10-10-10,0.9371058879856389,0.8495800094845505,0.7958434434673382,0.6994667742769535,0.5606320209994742,,
10,5,5-5-5-10-10-10-10-10-15-20,1.111317682830391,0.9430331751879828,0.8674933199712787,0.6565549516881121,0.5499789362043674,,
10,5,5-5-5-5-5-5-5-15-20-30,1.9956153345456056,1.7107953218163963,1.0087024911646905,0.895361489300515,0.41799904777366076,,
10,5,10-10-10-10-10-10-10-10-10-10,1.0493938693653542,0.9404552314928948,0.9239499250877685,0.6946988918632614,0.5797050539713741,,
10,5,5-5-5-10-10-10-10-10-15-20,1.1034107344409432,1.0432886154489822,0.9554981120895586,0.7828575048376968,0.5083336430001213,,
10,5,5-5-5-5-5-5-5-15-20-30,2.01536912479159,1.81393045149238,1.3024195509232717,0.6785940438730513,0.43309180227445904,,
10,5,10-10-10-10-10-10-10-10-10-10,1.058513003245915,0.873057205672991,0.8207734504167595,0.675208742355286,0.650870795929326,,
10,5,5-5-5-10-10-10-10-10-15-20,1.0618107017327147,0.9611613712825727,0.8967805901465731,0.6965143808612725,0.6375036017262161,,
10,5,5-5-5-5-5-5-5-15-20-30,1.738671467481583,1.4915328148775013,1.1546000669608714,0.958713351719255,0.5092810141625268,,
10,5,10-10-10-10-10-10-10-10-10-10,1.1585704486791608,1.06591989434599,0.9053758426725435,0.832656315956808,0.5468697578886168,,
10,5,5-5-5-10-10-10-10-10-15-20,1.1056010852900653,0.9784301581951722,0.9252152203601017,0.8019670843351963,0.5180343497418627,,
10,5,5-5-5-5-5-5-5-15-20-30,2.2117344754318617,1.8392332791548536,1.5436515017520258,0.6531396558732862,0.412749474779794,,
10,5,10-10-10-10-10-10-10-10-10-10,1.2857142857142874,1.2857142857142867,1.2857142857142847,1.2857142857142816,0.7142857142857146,,
10,5,5-5-5-10-10-10-10-10-15-20,2.714285714285716,2.7142857142857126,2.3897477565400496,1.285714285714286,0.9728896060973082,,
10,5,5-5-5-5-5-5-5-15-20-30,2.714285714285716,2.7142857142857144,2.714285714285712,2.714285714285709,2.0476190476190435,,
10,5,10-10-10-10-10-10-10-10-10-10,0.8421292338575322,0.8087395005254356,0.7741778006343599,0.6612025892580737,0.6144741372592603,,
10,5,5-5-5-10-10-10-10-10-15-20,1.0105060620029187,0.8938016918279875,0.8016736121763165,0.7435155220716622,0.5178429872346374,,
10,5,5-5-5-5-5-5-5-15-20-30,1.762636714927535,1.369537747810921,1.1067777411264907,0.7174473444586579,0.47708830992552004,,
10,5,10-10-10-10-10-10-10-10-10-10,1.1026122787615087,0.9250515553933892,0.8541597696398452,0.6281941575428303,0.6080892089296267,,
10,5,5-5-5-10-10-10-10-10-15-20,1.0214637733962268,0.9592712947593718,0.8059740587264171,0.7268219139019261,0.5144865190100956,,
10,5,5-5-5-5-5-5-5-15-20-30,1.910563115479857,1.6041493977515382,1.074131168324422,0.645591951897566,0.42976031448814,,
10,5,10-10-10-10-10-10-10-10-10-10,1.0574259717978014,1.0030015288661547,0.9650561370405486,0.7619062141125912,0.6044708809892172,,
10,5,5-5-5-10-10-10-10-10-15-20,1.5813517602087561,1.2901090512597035,1.035655236713056,0.6316273877887143,0.4936066186358363,,
10,5,5-5-5-5-5-5-5-15-20-30,2.0213416097996544,1.803812977972073,1.363988975879664,0.5996464322982461,0.3941772813310922,,
10,7,10-10-10-10-10-10-10-10-10-10,1.0000000000049838,1.0000000000032756,0.9999999999988962,0.9999999999984617,0.9999999999664689,0.666666666666761,0.6222222222223135
10,7,5-5-5-10-10-10-10-10-15-20,2.111111111399699,2.1111111111115775,1.8853750592540486,1.0000000000043192,0.8514864535687553,0.532307789799754,0.41807349576103525
10,7,5-5-5-5-5-5-5-15-20-30,2.1111111112271637,2.1111111111233303,2.1111111111052923,2.1111111110565517,1.6766980343820126,0.8346520413803278,0.2715202946008254
10,7,10-10-10-10-10-10-10-10-10-10,1.000000000040423,1.0000000000020206,0.9999999999997328,0.9999999999974392,0.9999999999746306,0.6666666666671425,0.6222222222229014
10,7,5-5-5-10-10-10-10-10-15-20,2.1111111112767715,2.1111111111164726,1.8853750592577427,1.000000000001857,0.8514864535647764,0.5323077898050241,0.41807349576205527
10,7,5-5-5-5-5-5-5-15-20-30,2.1111111111895897,2.1111111111219785,2.111111111106036,2.1111111109876655,1.6766980343862359,0.8346520413730633,0.27152029459865956
10,7,10-10-10-10-10-10-10-10-10-10,1.0000000000000022,1.0000000000000018,1.0000000000000013,0.9999999999999981,0.9999999999999968,0.9999999999999961,0.4814814814814792
10,7,5-5-5-10-10-10-10-10-15-20,2.1111111111111067,2.1111111111111045,1.897221575324425,0.9999999999999993,0.9999999999999988,0.9999999999999983,0.5719142271447083
10,7,5-5-5-5-5-5-5-15-20-30,2.111111111111126,2.111111111111113,2.1111111111111107,2.1111111111111085,2.1111111111111076,2.111111111111101,1.3931623931623909
10,7,10-10-10-10-10-10-10-10-10-10,1.0000000000064415,0.9975744018517134,0.9941974704031766,0.9110181954515576,0.8646485039299456,0.7262270202287071,0.5200593803650703
10,7,5-5-5-10-10-10-10-10-15-20,2.1035046993088127,1.959516750960528,0.9963069237721841,0.9393617235820504,0.7825204050751158,0.5554716158929276,0.4670727866812605
10,7,5-5-5-5-5-5-5-15-20-30,2.111111111108402,2.1005934722985575,2.0955855480496313,1.910388138272183,1.5140458023689616,0.46475192948736327,0.32816732444414115
10,7,10-10-10-10-10-10-10-10-10-10,0.9909168456581147,0.9711100995736625,0.9576773516112338,0.8895452392113428,0.817070615375201,0.7145734189306429,0.6082318685645696
10,7,5-5-5-10-10-10-10-10-15-20,1.5852340056218912,1.4114910895248527,0.9674899937957515,0.9418257786162648,0.8400650682656475,0.6261137911948685,0.5618511534702965
10,7,5-5-5-5-5-5-5-15-20-30,2.04971482847138,1.9471401334863319,1.7362134208203865,1.3731455452352956,1.2166724215472748,0.5498325028005577,0.4083456373975398
10,7,10-10-10-10-10-10-10-10-10-10,0.9776725531446431,0.9248708621425428,0.8683238930812612,0.8090345555247509,0.7814118757041517,0.7192650463133803,0.632778386690299
10,7,5-5-5-10-10-10-10-10-15-20,1.9804090306748405,1.162011513735494,0.932932737419724,0.8733636172838113,0.7555988037262873,0.6767101239109677,0.4678954435337988
10,7,5-5-5-5-5-5-5-15-20-30,2.0531531375881866,1.8485432208282322,1.6760515121260133,1.526318840018124,1.2676035401907473,0.6354402414936481,0.33783596615005584
10,7,10-10-10-10-10-10-10-10-10-10,0.9965102397817462,0.9950216832674164,0.9741981488727575,0.8373714725368469,0.799676912192295,0.7232655498086822,0.5613022746834406
10,7,5-5-5-10-10-10-10-10-15-20,2.0227871614354065,0.9978588543430973,0.9829723887034949,0.897221161630197,0.8248438342766676,0.6630238084610968,0.5536591926031659
10,7,5-5-5-5-5-5-5-15-20-30,2.0958708827313632,2.090632109159988,1.9986710959763836,1.658470653986728,1.2513877098344892,0.5729620073756214,0.4161321439893891
10,7,10-10-10-10-10-10-10-10-10-10,0.9825352768413794,0.9531802565535105,0.9335842384943028,0.8813504367616484,0.8311155051793294,0.7104760636655874,0.551096268274521
10,7,5-5-5-10-10-10-10-10-15-20,1.9476998117124045,1.5898146573845622,0.9334402651903774,0.843486557023435,0.7624254352653731,0.6703507452389001,0.46595740808037356
10,7,5-5-5-5-5-5-5-15-20-30,1.9743888851273714,1.9137367573297461,1.7397378472743876,1.621022220538167,1.338770785360304,0.697934706007911,0.3619997467383348
10,7,10-10-10-10-10-10-10-10-10-10,0.9890618741503402,0.9675569931147533,0.9393833830505239,0.9030623565122349,0.8301470405967883,0.8209387900874676,0.5077056110760049
10,7,5-5-5-10-10-10-10-10-15-20,1.7801717766795142,1.2349144701922399,0.9774049688401621,0.9005838881370521,0.7012105792071246,0.6294949764764983,0.4898360899689652
10,7,5-5-5-5-5-5-5-15-20-30,2.05116767381779,1.8866817393907855,1.8005515185363703,1.6675682408630876,0.8888610606594562,0.5633855661725414,0.34945449429442
10,7,10-10-10-10-10-10-10-10-10-10,0.9733138068922036,0.9234050688151108,0.8648176243811694,0.8321732093428801,0.7643813572685862,0.6815419541397636,0.6107055202461288
10,7,5-5-5-10-10-10-10-10-15-20,1.3839293740950631,1.189151412272679,0.9703523789564582,0.9134487413491259,0.7996384923900566,0.7005414683456619,0.4805603652410941
10,7,5-5-5-5-5-5-5-15-20-30,2.0244598889249494,1.7534567062384199,1.6007660241711292,1.3887550132755004,1.0904331896955692,0.6576580323281265,0.3721487092407688
10,7,10-10-10-10-10-10-10-10-10-10,0.992212524901468,0.9670471743236999,0.9517322883103957,0.892967964012903,0.8098838030262113,0.7565674370853042,0.5903859139408383
10,7,5-5-5-10-10-10-10-10-15-20,0.9956711229868492,0.9822640119229109,0.972264451441977,0.9299254434083604,0.8411193289395643,0.7203766264188316,0.5013261102702595
10,7,5-5-5-5-5-5-5-15-20-30,2.092405049617704,2.031285637765024,1.8349924661917314,1.62571207774512,0.7953730697589352,0.5630981743032827,0.35077242083744464
10,7,10-10-10-10-10-10-10-10-10-10,0.9827622121002847,0.9717860691108045,0.9590771196780083,0.9386387537135968,0.8528159207089271,0.7149521852544115,0.5278534529070866
10,7,5-5-5-10-10-10-10-10-15-20,1.9758534807523684,1.6722102619089874,0.9695369371724416,0.8922271896985259,0.8114145200311267,0.6014912187945891,0.4663519721405024
10,7,5-5-5-5-5-5-5-15-20-30,2.031109922816862,2.0134966402296626,1.9345467601226973,1.6086093294817194,1.4722997794051713,0.5011082147162427,0.3691029413708834
10,7,10-10-10-10-10-10-10-10-10-10,0.981697268520536,0.9702581220486949,0.9451190275465154,0.8966972527908381,0.8504306141976369,0.7017257035687471,0.5372339809217174
10,7,5-5-5-10-10-10-10-10-15-20,1.5859399718689533,0.9840302917844042,0.9586328223966508,0.9315033254032565,0.8282433378664303,0.6682740183299226,0.5354874284146608
10,7,5-5-5-5-5-5-5-15-20-30,1.9668473806657623,1.8453406433109099,1.7419679849833953,1.4991346892867072,1.08048718442581,0.5718844584070473,0.4001203701223362
10,7,10-10-10-10-10-10-10-10-10-10,0.99948372182034,0.9869460743811023,0.9616586842785284,0.9296685113072736,0.9201451182553538,0.8203745516253472,0.574604496577831
10,7,5-5-5-10-10-10-10-10-15-20,1.6823060929961489,0.9995317109954203,0.9901739440982198,0.9753183914166201,0.9427943303222194,0.7247551922047616,0.5139021146574884
10,7,5-5-5-5-5-5-5-15-20-30,2.108962073417037,2.072391830917128,1.9019969005751227,1.781495518081389,1.5313917814456226,0.560386362240939,0.3778781738054561
10,7,10-10-10-10-10-10-10-10-10-10,0.9732345850978854,0.9223884552874554,0.8678201860242223,0.8233444116356248,0.7599963711589653,0.6826098286175794,0.6174120347381146
10,7,5-5-5-10-10-10-10-10-15-20,1.107837949542724,0.9846360298831474,0.9452662253501389,0.8876480473839743,0.8668959301447964,0.6841248619574976,0.5425055856632004
10,7,5-5-5-5-5-5-5-15-20-30,2.0191490745838885,1.746675380607189,1.5666784942534249,1.3206708636202336,1.1134528096138838,0.557819502146631,0.39509468813033133
10,7,10-10-10-10-10-10-10-10-10-10,0.9992551185640403,0.9971599381201556,0.9928215827899836,0.9870882715696525,0.98235422023406,0.9412169607786414,0.4987456390306909
10,7,5-5-5-10-10-10-10-10-15-20,1.9883578517514624,0.9993761727887519,0.9978023032544844,0.9955839299062748,0.9806128186986035,0.7352535457547974,0.44587602743296306
10,7,5-5-5-5-5-5-5-15-20-30,2.101263523942129,2.0935719394035286,2.0847018057105986,1.9878080091412837,1.6578813180333887,0.5680273760666912,0.3377925334229146
10,7,10-10-10-10-10-10-10-10-10-10,1.0000000000000018,1.0000000000000004,0.9999999999999993,0.9999999999999989,0.9999999999999984,0.9999999999999976,0.4814814814814785
10,7,5-5-5-10-10-10-10-10-15-20,2.111111111111117,2.1111111111111063,1.8972215753244275,1.0000000000000024,0.9999999999999992,0.9999999999999954,0.5719142271447089
10,7,5-5-5-5-5-5-5-15-20-30,2.1111111111111183,2.1111111111111147,2.1111111111111143,2.1111111111111103,2.111111111111108,2.111111111111104,1.3931623931623938
10,7,10-10-10-10-10-10-10-10-10-10,0.964409930899207,0.9067249785301431,0.883668682832266,0.8308343741173769,0.7319929102809796,0.6969141093117455,0.6310129324356304
10,7,5-5-5-10-10-10-10-10-15-20,1.2005346110350208,0.9781800406610479,0.9377727064811998,0.9217825087969106,0.8435758912047624,0.6848448485336109,0.5292246462040706
10,7,5-5-5-5-5-5-5-15-20-30,2.024098961190984,1.8450958686162862,1.5488032340414621,1.3095667034011487,0.9888633555390816,0.5680643176110874,0.4655048033212877
10,7,10-10-10-10-10-10-10-10-10-10,0.980162842450005,0.9510697484200527,0.9489044403637406,0.9279330022649237,0.8589463298140155,0.730137653135165,0.5795268239316118
10,7,5-5-5-10-10-10-10-10-15-20,1.370128706102854,0.9837006594089525,0.9693314313379876,0.9539074865461249,0.9098030375841677,0.7004677099874388,0.4814576216923535
10,7,5-5-5-5-5-5-5-15-20-30,2.0464059828474386,1.9438177788157762,1.7641251010574222,1.7456271753937025,1.1897123319751417,0.5551825099875376,0.35322949342143406
10,7,10-10-10-10-10-10-10-10-10-10,0.9341263050564197,0.9272837909737852,0.8830420293027524,0.843791011423817,0.7568067765182931,0.7208860364300776,0.6656650293326571
10,7,5-5-5-10-10-10-10-10-15-20,1.7095916478350897,1.264563011591444,0.930791862593237,0.8677122382003309,0.7616916380877337,0.6666827816931881,0.4978383155409277
10,7,5-5-5-5-5-5-5-15-20-30,1.9372808087627325,1.8126901241822915,1.6107771003641362,1.5063488595998948,1.245773665053085,0.5706417637160391,0.3416977685275968
